Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2009,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,,Percent,2009
2015,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,,Percent,2015
2020,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,,Percent,2020
2009,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,Rural,Percent,2009
2015,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,Rural,Percent,2015
2020,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,Rural,Percent,2020
2009,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,Urban,Percent,2009
2015,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,Urban,Percent,2015
2020,Normal value,Units,HBS,Proportion of population living below the national poverty line [1.2.1],,Urban,Percent,2020
